User_Questions,Bot_Response
Is there financing for equipment?,"We offer customised term loans for major expenditures like equipment or real estate. They can fund an expansion or renovation, modernise equipment, refinance existing debt, or finance the acquisition of another business."
Can I refinance business debt?,"We offer customised term loans for major expenditures like equipment or real estate. They can fund an expansion or renovation, modernise equipment, refinance existing debt, or finance the acquisition of another business."
Loans for buying another company?,"We offer customised term loans for major expenditures like equipment or real estate. They can fund an expansion or renovation, modernise equipment, refinance existing debt, or finance the acquisition of another business."
Can my business do foreign exchange?,"Yes — businesses can access foreign exchange services alongside their other banking. If you deal in USD, GBP, EUR, CAD or BBD regularly, it's worth discussing forward exchange contracts too."
Do you offer FX for companies?,"Yes — businesses can access foreign exchange services alongside their other banking. If you deal in USD, GBP, EUR, CAD or BBD regularly, it's worth discussing forward exchange contracts too."
"My business deals in USD, can you help?","Yes — businesses can access foreign exchange services alongside their other banking. If you deal in USD, GBP, EUR, CAD or BBD regularly, it's worth discussing forward exchange contracts too."
Business currency services?,"Yes — businesses can access foreign exchange services alongside their other banking. If you deal in USD, GBP, EUR, CAD or BBD regularly, it's worth discussing forward exchange contracts too."
Do you offer merchant services?,"Yes — we offer POS terminals and E-Commerce payment solutions. Customers can pay with Visa and Mastercard debit or credit cards, and funds are credited to your account the next business day. We're also working on accepting AMEX."
Can I accept card payments in my shop?,"Yes — we offer POS terminals and E-Commerce payment solutions. Customers can pay with Visa and Mastercard debit or credit cards, and funds are credited to your account the next business day. We're also working on accepting AMEX."
Do you provide POS machines?,"Yes — we offer POS terminals and E-Commerce payment solutions. Customers can pay with Visa and Mastercard debit or credit cards, and funds are credited to your account the next business day. We're also working on accepting AMEX."
Can I take payments online?,"Yes — we offer POS terminals and E-Commerce payment solutions. Customers can pay with Visa and Mastercard debit or credit cards, and funds are credited to your account the next business day. We're also working on accepting AMEX."
Do you accept AMEX?,"Yes — we offer POS terminals and E-Commerce payment solutions. Customers can pay with Visa and Mastercard debit or credit cards, and funds are credited to your account the next business day. We're also working on accepting AMEX."
merchant services info,"Yes — we offer POS terminals and E-Commerce payment solutions. Customers can pay with Visa and Mastercard debit or credit cards, and funds are credited to your account the next business day. We're also working on accepting AMEX."
Do you offer payroll services?,Yes — we offer payroll services through the Eastern Caribbean Automated Clearing House. Manual processing is $30 plus $2 per employee paid per run; electronic is $15 plus $1 per employee per run.
How much does payroll processing cost?,Yes — we offer payroll services through the Eastern Caribbean Automated Clearing House. Manual processing is $30 plus $2 per employee paid per run; electronic is $15 plus $1 per employee per run.
Can ACB handle my company payroll?,Yes — we offer payroll services through the Eastern Caribbean Automated Clearing House. Manual processing is $30 plus $2 per employee paid per run; electronic is $15 plus $1 per employee per run.
What's the difference between manual and electronic payroll?,Yes — we offer payroll services through the Eastern Caribbean Automated Clearing House. Manual processing is $30 plus $2 per employee paid per run; electronic is $15 plus $1 per employee per run.
payroll service pricing,Yes — we offer payroll services through the Eastern Caribbean Automated Clearing House. Manual processing is $30 plus $2 per employee paid per run; electronic is $15 plus $1 per employee per run.
Can I take payments on my website?,"Yes — with our E-Commerce payment solution you can accept card payments through your own website, with funds credited the next business day."
Do you support online stores?,"Yes — with our E-Commerce payment solution you can accept card payments through your own website, with funds credited the next business day."
How do I accept payments online?,"Yes — with our E-Commerce payment solution you can accept card payments through your own website, with funds credited the next business day."
E-commerce payment options?,"Yes — with our E-Commerce payment solution you can accept card payments through your own website, with funds credited the next business day."
Business account requirements?,"You'll need your business registration certificate, tax ID, valid identification for all signatories, and proof of business address. A branch representative can guide you through the rest."
What do I bring to open a company account?,"You'll need your business registration certificate, tax ID, valid identification for all signatories, and proof of business address. A branch representative can guide you through the rest."
Do I need my registration certificate?,"You'll need your business registration certificate, tax ID, valid identification for all signatories, and proof of business address. A branch representative can guide you through the rest."
Are you open on public holidays?,"Branches are closed on public holidays. Online banking, the ACB Smart App and our ATMs remain available 24/7."
Do you close for holidays?,"Branches are closed on public holidays. Online banking, the ACB Smart App and our ATMs remain available 24/7."
Can I bank on a holiday?,"Branches are closed on public holidays. Online banking, the ACB Smart App and our ATMs remain available 24/7."
What about bank holidays?,"Branches are closed on public holidays. Online banking, the ACB Smart App and our ATMs remain available 24/7."
Are your ATMs open 24 hours?,"Our ATMs are available around the clock, so you can withdraw, deposit, transfer, check balances and pay utility bills outside branch hours."
Can I use the ATM at night?,"Our ATMs are available around the clock, so you can withdraw, deposit, transfer, check balances and pay utility bills outside branch hours."
What if I need cash after hours?,"Our ATMs are available around the clock, so you can withdraw, deposit, transfer, check balances and pay utility bills outside branch hours."
Are ATMs available on weekends?,"Our ATMs are available around the clock, so you can withdraw, deposit, transfer, check balances and pay utility bills outside branch hours."
What's the Market Street number?,Our Market Street branch can be reached on 1-268-480-1177. Head Office is 1-268-481-4200.
Phone number for the Market Street branch?,Our Market Street branch can be reached on 1-268-480-1177. Head Office is 1-268-481-4200.
How do I call Head Office?,Our Market Street branch can be reached on 1-268-480-1177. Head Office is 1-268-481-4200.
Different numbers for different branches?,Our Market Street branch can be reached on 1-268-480-1177. Head Office is 1-268-481-4200.
What time do you open?,"Our branches are open Monday to Friday, 8:00am to 4:00pm. Online banking and the ACB Smart App are available 24/7."
What are your opening hours?,"Our branches are open Monday to Friday, 8:00am to 4:00pm. Online banking and the ACB Smart App are available 24/7."
Are you open on weekends?,"Our branches are open Monday to Friday, 8:00am to 4:00pm. Online banking and the ACB Smart App are available 24/7."
What time do you close?,"Our branches are open Monday to Friday, 8:00am to 4:00pm. Online banking and the ACB Smart App are available 24/7."
When can I visit a branch?,"Our branches are open Monday to Friday, 8:00am to 4:00pm. Online banking and the ACB Smart App are available 24/7."
opening hours,"Our branches are open Monday to Friday, 8:00am to 4:00pm. Online banking and the ACB Smart App are available 24/7."
Where is your branch?,"Our main branch is on High Street in St. John's, Antigua. We also have a branch at Woods Centre on Friars Hill Road. Both can be reached on 1-268-481-4200."
What's the address of your main branch?,"Our main branch is on High Street in St. John's, Antigua. We also have a branch at Woods Centre on Friars Hill Road. Both can be reached on 1-268-481-4200."
Where are you located?,"Our main branch is on High Street in St. John's, Antigua. We also have a branch at Woods Centre on Friars Hill Road. Both can be reached on 1-268-481-4200."
How do I find your branch?,"Our main branch is on High Street in St. John's, Antigua. We also have a branch at Woods Centre on Friars Hill Road. Both can be reached on 1-268-481-4200."
Is there a branch at Woods?,"Our main branch is on High Street in St. John's, Antigua. We also have a branch at Woods Centre on Friars Hill Road. Both can be reached on 1-268-481-4200."
branch address,"Our main branch is on High Street in St. John's, Antigua. We also have a branch at Woods Centre on Friars Hill Road. Both can be reached on 1-268-481-4200."
What's my daily withdrawal limit?,"The standard daily withdrawal limit is $1,000. If you need a higher limit, let us know and we can look into it for you."
How much can I take out per day?,"The standard daily withdrawal limit is $1,000. If you need a higher limit, let us know and we can look into it for you."
Can I increase my ATM limit?,"The standard daily withdrawal limit is $1,000. If you need a higher limit, let us know and we can look into it for you."
Is there a cash withdrawal cap?,"The standard daily withdrawal limit is $1,000. If you need a higher limit, let us know and we can look into it for you."
Do you charge for ATM use?,There's a $1.00 charge at all off-site ACB ATMs — that's any machine outside our Head Office. Using another bank's ATM costs 2% with a $10 minimum.
What's the fee at an off-site ATM?,There's a $1.00 charge at all off-site ACB ATMs — that's any machine outside our Head Office. Using another bank's ATM costs 2% with a $10 minimum.
Is it free to use ACB ATMs?,There's a $1.00 charge at all off-site ACB ATMs — that's any machine outside our Head Office. Using another bank's ATM costs 2% with a $10 minimum.
What if I use a different bank's ATM?,There's a $1.00 charge at all off-site ACB ATMs — that's any machine outside our Head Office. Using another bank's ATM costs 2% with a $10 minimum.
ATM withdrawal fees,There's a $1.00 charge at all off-site ACB ATMs — that's any machine outside our Head Office. Using another bank's ATM costs 2% with a $10 minimum.
Where are your ATMs?,"We have nine ATMs island-wide: our Head Office, ACB Mortgage & Trust on High Street, the Market & High Streets branch, Village Walk, V.C. Bird International Airport, Epicurean Supermarket, Town House Mega Plaza, Perry Bay Supermarket, and Codrington in Barbuda."
Where's the nearest ATM?,"We have nine ATMs island-wide: our Head Office, ACB Mortgage & Trust on High Street, the Market & High Streets branch, Village Walk, V.C. Bird International Airport, Epicurean Supermarket, Town House Mega Plaza, Perry Bay Supermarket, and Codrington in Barbuda."
How many ATMs do you have?,"We have nine ATMs island-wide: our Head Office, ACB Mortgage & Trust on High Street, the Market & High Streets branch, Village Walk, V.C. Bird International Airport, Epicurean Supermarket, Town House Mega Plaza, Perry Bay Supermarket, and Codrington in Barbuda."
Is there an ATM at the airport?,"We have nine ATMs island-wide: our Head Office, ACB Mortgage & Trust on High Street, the Market & High Streets branch, Village Walk, V.C. Bird International Airport, Epicurean Supermarket, Town House Mega Plaza, Perry Bay Supermarket, and Codrington in Barbuda."
Do you have an ATM in Barbuda?,"We have nine ATMs island-wide: our Head Office, ACB Mortgage & Trust on High Street, the Market & High Streets branch, Village Walk, V.C. Bird International Airport, Epicurean Supermarket, Town House Mega Plaza, Perry Bay Supermarket, and Codrington in Barbuda."
atm locations,"We have nine ATMs island-wide: our Head Office, ACB Mortgage & Trust on High Street, the Market & High Streets branch, Village Walk, V.C. Bird International Airport, Epicurean Supermarket, Town House Mega Plaza, Perry Bay Supermarket, and Codrington in Barbuda."
Can I withdraw cash at the airport?,"Yes — there's an ATM at V.C. Bird International Airport, which is handy if you're arriving or heading out."
ATM near the airport?,"Yes — there's an ATM at V.C. Bird International Airport, which is handy if you're arriving or heading out."
Do you have anything in Barbuda?,"Yes — there's an ATM in Codrington, Barbuda, so you can access your account without travelling to Antigua."
Is there an ATM in Codrington?,"Yes — there's an ATM in Codrington, Barbuda, so you can access your account without travelling to Antigua."
Can I bank in Barbuda?,"Yes — there's an ATM in Codrington, Barbuda, so you can access your account without travelling to Antigua."
Services in Barbuda?,"Yes — there's an ATM in Codrington, Barbuda, so you can access your account without travelling to Antigua."
How do I book a meeting with someone?,"Yes — you can book an appointment through the 'Book an Appointment' feature on our website, or call us on 1-268-481-4200 to arrange a time."
Can I make an appointment online?,"Yes — you can book an appointment through the 'Book an Appointment' feature on our website, or call us on 1-268-481-4200 to arrange a time."
I'd like to see an advisor,"Yes — you can book an appointment through the 'Book an Appointment' feature on our website, or call us on 1-268-481-4200 to arrange a time."
book appointment,"Yes — you can book an appointment through the 'Book an Appointment' feature on our website, or call us on 1-268-481-4200 to arrange a time."
Where can I find all your locations?,"You can find all our branch and ATM locations on the locations page of our website, which lists addresses and opening hours for each."
Is there a branch locator?,"You can find all our branch and ATM locations on the locations page of our website, which lists addresses and opening hours for each."
List all your branches,"You can find all our branch and ATM locations on the locations page of our website, which lists addresses and opening hours for each."
Show me your locations page,"You can find all our branch and ATM locations on the locations page of our website, which lists addresses and opening hours for each."
How much is a certificate of balance?,"A Certificate of Balance, confirmation of balance, or reference letter costs $50. A letter to an embassy is also $50."
I need a reference letter — what's the cost?,"A Certificate of Balance, confirmation of balance, or reference letter costs $50. A letter to an embassy is also $50."
Do you write letters for embassies?,"A Certificate of Balance, confirmation of balance, or reference letter costs $50. A letter to an embassy is also $50."
What's the fee for a bank reference?,"A Certificate of Balance, confirmation of balance, or reference letter costs $50. A letter to an embassy is also $50."
I need proof of funds for a visa,"A Certificate of Balance, confirmation of balance, or reference letter costs $50. A letter to an embassy is also $50."
I need a statement for taxes,A duplicate statement is $10 per month of statements. A Statement of Interest Paid for income tax purposes is $50. Historical confirmations run from $50 for the current year up to $250 for records more than five years old.
What does an old statement cost?,A duplicate statement is $10 per month of statements. A Statement of Interest Paid for income tax purposes is $50. Historical confirmations run from $50 for the current year up to $250 for records more than five years old.
Can I get records from five years ago?,A duplicate statement is $10 per month of statements. A Statement of Interest Paid for income tax purposes is $50. Historical confirmations run from $50 for the current year up to $250 for records more than five years old.
statement fees,A duplicate statement is $10 per month of statements. A Statement of Interest Paid for income tax purposes is $50. Historical confirmations run from $50 for the current year up to $250 for records more than five years old.
How much is a bank draft?,A local or manager's draft costs $30 plus Stamp Duty. An international money order draft is $30.20 plus correspondent bank charges. Replacing a foreign draft is $120.20 plus correspondent charges.
What does a manager's cheque cost?,A local or manager's draft costs $30 plus Stamp Duty. An international money order draft is $30.20 plus correspondent bank charges. Replacing a foreign draft is $120.20 plus correspondent charges.
Can I get an international draft?,A local or manager's draft costs $30 plus Stamp Duty. An international money order draft is $30.20 plus correspondent bank charges. Replacing a foreign draft is $120.20 plus correspondent charges.
What if I lose a draft?,A local or manager's draft costs $30 plus Stamp Duty. An international money order draft is $30.20 plus correspondent bank charges. Replacing a foreign draft is $120.20 plus correspondent charges.
draft fees,A local or manager's draft costs $30 plus Stamp Duty. An international money order draft is $30.20 plus correspondent bank charges. Replacing a foreign draft is $120.20 plus correspondent charges.
Is there a fee to close my account?,"Closing an account within 30 days costs $60, within 90 days $50, and within 180 days $40. After 180 days there's no early closure fee."
What does early account closure cost?,"Closing an account within 30 days costs $60, within 90 days $50, and within 180 days $40. After 180 days there's no early closure fee."
Can I close my account for free?,"Closing an account within 30 days costs $60, within 90 days $50, and within 180 days $40. After 180 days there's no early closure fee."
How long before closure is free?,"Closing an account within 30 days costs $60, within 90 days $50, and within 180 days $40. After 180 days there's no early closure fee."
Do you charge for coins?,Coins supplied by the bank carry a 1.25% fee.
Is there a fee to get change?,Coins supplied by the bank carry a 1.25% fee.
What does it cost to get coins?,Coins supplied by the bank carry a 1.25% fee.
How are fees charged on my US dollar account?,Fees on a USD account are applied in US currency. So a $20 monthly service charge on a USD chequing account is charged as US$20.
Are USD account fees in US dollars?,Fees on a USD account are applied in US currency. So a $20 monthly service charge on a USD chequing account is charged as US$20.
What currency are my charges in?,Fees on a USD account are applied in US currency. So a $20 monthly service charge on a USD chequing account is charged as US$20.
Where can I see all your fees?,"Our full Schedule of Fees is published on the website and covers account fees, deposit fees, document charges, transfer fees, business services and card fees."
Is there a fee schedule?,"Our full Schedule of Fees is published on the website and covers account fees, deposit fees, document charges, transfer fees, business services and card fees."
What are your bank charges?,"Our full Schedule of Fees is published on the website and covers account fees, deposit fees, document charges, transfer fees, business services and card fees."
Show me the schedule of fees,"Our full Schedule of Fees is published on the website and covers account fees, deposit fees, document charges, transfer fees, business services and card fees."
list of fees,"Our full Schedule of Fees is published on the website and covers account fees, deposit fees, document charges, transfer fees, business services and card fees."
How do I reactivate my account?,Reactivating a dormant account costs $10. There's also a $15 per annum notice fee on inactive or dormant accounts.
What's the dormant account fee?,Reactivating a dormant account costs $10. There's also a $15 per annum notice fee on inactive or dormant accounts.
My account is inactive — what do I do?,Reactivating a dormant account costs $10. There's also a $15 per annum notice fee on inactive or dormant accounts.
Is there a charge for an unused account?,Reactivating a dormant account costs $10. There's also a $15 per annum notice fee on inactive or dormant accounts.
Do you have safety deposit boxes?,"Safety deposit boxes rent annually: Small $200, Medium $300, Large $350, Extra Large $400. You get 2 free visits a month, with additional visits at $20 each."
How much is a safe deposit box?,"Safety deposit boxes rent annually: Small $200, Medium $300, Large $350, Extra Large $400. You get 2 free visits a month, with additional visits at $20 each."
What sizes of deposit box are available?,"Safety deposit boxes rent annually: Small $200, Medium $300, Large $350, Extra Large $400. You get 2 free visits a month, with additional visits at $20 each."
How many times can I access my box?,"Safety deposit boxes rent annually: Small $200, Medium $300, Large $350, Extra Large $400. You get 2 free visits a month, with additional visits at $20 each."
safety deposit box pricing,"Safety deposit boxes rent annually: Small $200, Medium $300, Large $350, Extra Large $400. You get 2 free visits a month, with additional visits at $20 each."
How can I avoid bank fees?,"The best way to avoid fees is keeping your balance above the minimum — $100 on savings, $300 on chequing — and using online banking and the app, where transfers between your own accounts and bill payments are free."
What's the cheapest way to bank with you?,"The best way to avoid fees is keeping your balance above the minimum — $100 on savings, $300 on chequing — and using online banking and the app, where transfers between your own accounts and bill payments are free."
How do I reduce my charges?,"The best way to avoid fees is keeping your balance above the minimum — $100 on savings, $300 on chequing — and using online banking and the app, where transfers between your own accounts and bill payments are free."
Any way to avoid the monthly fee?,"The best way to avoid fees is keeping your balance above the minimum — $100 on savings, $300 on chequing — and using online banking and the app, where transfers between your own accounts and bill payments are free."
Is there a fee for large cash deposits?,"There's a cash handling fee of 0.2% on cash deposits or withdrawals of $5,000 or more per day made in branch."
What's the cash handling charge?,"There's a cash handling fee of 0.2% on cash deposits or withdrawals of $5,000 or more per day made in branch."
Do you charge for big withdrawals?,"There's a cash handling fee of 0.2% on cash deposits or withdrawals of $5,000 or more per day made in branch."
Fee for depositing a lot of cash?,"There's a cash handling fee of 0.2% on cash deposits or withdrawals of $5,000 or more per day made in branch."
What currencies can I get a draft in?,"We issue drafts in four currencies: Eastern Caribbean Dollars, US Dollars, Canadian Dollars and Barbadian Dollars."
Can I get a US dollar draft?,"We issue drafts in four currencies: Eastern Caribbean Dollars, US Dollars, Canadian Dollars and Barbadian Dollars."
Do you issue Canadian dollar drafts?,"We issue drafts in four currencies: Eastern Caribbean Dollars, US Dollars, Canadian Dollars and Barbadian Dollars."
Which currencies for bank drafts?,"We issue drafts in four currencies: Eastern Caribbean Dollars, US Dollars, Canadian Dollars and Barbadian Dollars."
I got a suspicious text from ACB,"Be careful — ACB Caribbean will never ask for your PIN, banking credentials, or full account details by text or email. If a message looks off, don't click anything and call us on 1-268-481-4200 to verify."
Is this email really from you?,"Be careful — ACB Caribbean will never ask for your PIN, banking credentials, or full account details by text or email. If a message looks off, don't click anything and call us on 1-268-481-4200 to verify."
Someone is asking for my PIN,"Be careful — ACB Caribbean will never ask for your PIN, banking credentials, or full account details by text or email. If a message looks off, don't click anything and call us on 1-268-481-4200 to verify."
I think I'm being scammed,"Be careful — ACB Caribbean will never ask for your PIN, banking credentials, or full account details by text or email. If a message looks off, don't click anything and call us on 1-268-481-4200 to verify."
How do I know if a message is genuine?,"Be careful — ACB Caribbean will never ask for your PIN, banking credentials, or full account details by text or email. If a message looks off, don't click anything and call us on 1-268-481-4200 to verify."
phishing text,"Be careful — ACB Caribbean will never ask for your PIN, banking credentials, or full account details by text or email. If a message looks off, don't click anything and call us on 1-268-481-4200 to verify."
I think someone knows my password,"Change your password immediately through online banking, then call us on 1-268-481-4200 so we can review your account for any unusual activity."
My account may be compromised,"Change your password immediately through online banking, then call us on 1-268-481-4200 so we can review your account for any unusual activity."
What do I do if my login is hacked?,"Change your password immediately through online banking, then call us on 1-268-481-4200 so we can review your account for any unusual activity."
Someone accessed my online banking,"Change your password immediately through online banking, then call us on 1-268-481-4200 so we can review your account for any unusual activity."
I didn't make this transaction,Contact us immediately on 1-268-481-4200 so we can freeze the card and start looking into it. Have the date and amount of the transaction you don't recognise ready.
There's a charge I don't recognise,Contact us immediately on 1-268-481-4200 so we can freeze the card and start looking into it. Have the date and amount of the transaction you don't recognise ready.
How do I report fraud?,Contact us immediately on 1-268-481-4200 so we can freeze the card and start looking into it. Have the date and amount of the transaction you don't recognise ready.
Someone used my card,Contact us immediately on 1-268-481-4200 so we can freeze the card and start looking into it. Have the date and amount of the transaction you don't recognise ready.
I want to report unauthorised activity,Contact us immediately on 1-268-481-4200 so we can freeze the card and start looking into it. Have the date and amount of the transaction you don't recognise ready.
report fraud,Contact us immediately on 1-268-481-4200 so we can freeze the card and start looking into it. Have the date and amount of the transaction you don't recognise ready.
Should I ever share my PIN?,"Never share your PIN or password — not with family, not with anyone claiming to be from the bank. We will never ask you for them."
Will the bank ask for my password?,"Never share your PIN or password — not with family, not with anyone claiming to be from the bank. We will never ask you for them."
Is it safe to give my details over the phone?,"Never share your PIN or password — not with family, not with anyone claiming to be from the bank. We will never ask you for them."
Can I tell someone my PIN?,"Never share your PIN or password — not with family, not with anyone claiming to be from the bank. We will never ask you for them."
How do I dispute a transaction?,"Please get in touch within 30 days of the transaction with the details, and we'll investigate. Call 1-268-481-4200 or visit any branch."
I want to challenge a charge,"Please get in touch within 30 days of the transaction with the details, and we'll investigate. Call 1-268-481-4200 or visit any branch."
How long do I have to dispute something?,"Please get in touch within 30 days of the transaction with the details, and we'll investigate. Call 1-268-481-4200 or visit any branch."
Can I get a refund on a wrong charge?,"Please get in touch within 30 days of the transaction with the details, and we'll investigate. Call 1-268-481-4200 or visit any branch."
How secure is my account?,"Protecting your information and funds is a top priority. We use layered security measures to safeguard your accounts. Never share your PIN, password, or one-time verification codes with anyone."
What security do you have?,"Protecting your information and funds is a top priority. We use layered security measures to safeguard your accounts. Never share your PIN, password, or one-time verification codes with anyone."
Is online banking safe?,"Protecting your information and funds is a top priority. We use layered security measures to safeguard your accounts. Never share your PIN, password, or one-time verification codes with anyone."
Can I trust the app with my details?,"Protecting your information and funds is a top priority. We use layered security measures to safeguard your accounts. Never share your PIN, password, or one-time verification codes with anyone."
Are you hiring?,Career opportunities are posted on our website when they come up. Keep an eye on the site and our LinkedIn page.
Do you have job openings?,Career opportunities are posted on our website when they come up. Keep an eye on the site and our LinkedIn page.
How do I apply for a job at ACB?,Career opportunities are posted on our website when they come up. Keep an eye on the site and our LinkedIn page.
Where are careers listed?,Career opportunities are posted on our website when they come up. Keep an eye on the site and our LinkedIn page.
Can you check my transaction history?,"For anything specific to your own account, please log in to online banking or call us on 1-268-481-4200 — I don't have access to customer records."
What did I spend last month?,"For anything specific to your own account, please log in to online banking or call us on 1-268-481-4200 — I don't have access to customer records."
Can you find my last payment?,"For anything specific to your own account, please log in to online banking or call us on 1-268-481-4200 — I don't have access to customer records."
Look up my recent transactions,"For anything specific to your own account, please log in to online banking or call us on 1-268-481-4200 — I don't have access to customer records."
Can you apply for me?,"I can point you toward the right form or department, but I can't complete an application for you. Everything you need is on our website, or call 1-268-481-4200 and someone will walk you through it."
Can you fill out the form?,"I can point you toward the right form or department, but I can't complete an application for you. Everything you need is on our website, or call 1-268-481-4200 and someone will walk you through it."
Will you submit my application?,"I can point you toward the right form or department, but I can't complete an application for you. Everything you need is on our website, or call 1-268-481-4200 and someone will walk you through it."
Can you do it for me?,"I can point you toward the right form or department, but I can't complete an application for you. Everything you need is on our website, or call 1-268-481-4200 and someone will walk you through it."
I want to make a complaint,I'm sorry to hear that. Complaints are best handled by our team directly — call 1-268-481-4200 or email customerservice@acbonline.com and they'll take it from there.
I'm unhappy with the service,I'm sorry to hear that. Complaints are best handled by our team directly — call 1-268-481-4200 or email customerservice@acbonline.com and they'll take it from there.
How do I escalate an issue?,I'm sorry to hear that. Complaints are best handled by our team directly — call 1-268-481-4200 or email customerservice@acbonline.com and they'll take it from there.
Who handles complaints?,I'm sorry to hear that. Complaints are best handled by our team directly — call 1-268-481-4200 or email customerservice@acbonline.com and they'll take it from there.
I need to complain about something,I'm sorry to hear that. Complaints are best handled by our team directly — call 1-268-481-4200 or email customerservice@acbonline.com and they'll take it from there.
I want to talk to a human,"Let me connect you with our team. Call 1-268-481-4200 in Antigua or 1-473-444-4919 in Grenada, Monday to Friday 8am to 4pm, or email customerservice@acbonline.com. You're also welcome to visit any branch in person."
Can I speak to a real person?,"Let me connect you with our team. Call 1-268-481-4200 in Antigua or 1-473-444-4919 in Grenada, Monday to Friday 8am to 4pm, or email customerservice@acbonline.com. You're also welcome to visit any branch in person."
Connect me to an agent,"Let me connect you with our team. Call 1-268-481-4200 in Antigua or 1-473-444-4919 in Grenada, Monday to Friday 8am to 4pm, or email customerservice@acbonline.com. You're also welcome to visit any branch in person."
I'd rather talk to someone,"Let me connect you with our team. Call 1-268-481-4200 in Antigua or 1-473-444-4919 in Grenada, Monday to Friday 8am to 4pm, or email customerservice@acbonline.com. You're also welcome to visit any branch in person."
Get me a representative,"Let me connect you with our team. Call 1-268-481-4200 in Antigua or 1-473-444-4919 in Grenada, Monday to Friday 8am to 4pm, or email customerservice@acbonline.com. You're also welcome to visit any branch in person."
talk to a human,"Let me connect you with our team. Call 1-268-481-4200 in Antigua or 1-473-444-4919 in Grenada, Monday to Friday 8am to 4pm, or email customerservice@acbonline.com. You're also welcome to visit any branch in person."
What's your email address?,"Our customer service email is customerservice@acbonline.com. For digital banking support, email connect@acbonline.com."
Can I email you?,"Our customer service email is customerservice@acbonline.com. For digital banking support, email connect@acbonline.com."
What email for online banking help?,"Our customer service email is customerservice@acbonline.com. For digital banking support, email connect@acbonline.com."
Where do I send an email enquiry?,"Our customer service email is customerservice@acbonline.com. For digital banking support, email connect@acbonline.com."
Are fees the same in Grenada?,"Some fees and products differ between Antigua & Barbuda and Grenada. If you're banking in Grenada, gd.acbonline.com has the details that apply to you."
Do products differ between territories?,"Some fees and products differ between Antigua & Barbuda and Grenada. If you're banking in Grenada, gd.acbonline.com has the details that apply to you."
Is the Grenada schedule of fees different?,"Some fees and products differ between Antigua & Barbuda and Grenada. If you're banking in Grenada, gd.acbonline.com has the details that apply to you."
Which website applies to me in Grenada?,"Some fees and products differ between Antigua & Barbuda and Grenada. If you're banking in Grenada, gd.acbonline.com has the details that apply to you."
Do you have a branch in Grenada?,"Yes — ACB Grenada operates as a separate entity. You can reach the Grand Anse branch in St. George's on 1-473-444-4919, open Monday to Friday 8am to 3:30pm, or visit gd.acbonline.com."
What's the Grenada phone number?,"Yes — ACB Grenada operates as a separate entity. You can reach the Grand Anse branch in St. George's on 1-473-444-4919, open Monday to Friday 8am to 3:30pm, or visit gd.acbonline.com."
Are you in Grenada?,"Yes — ACB Grenada operates as a separate entity. You can reach the Grand Anse branch in St. George's on 1-473-444-4919, open Monday to Friday 8am to 3:30pm, or visit gd.acbonline.com."
Grenada branch hours?,"Yes — ACB Grenada operates as a separate entity. You can reach the Grand Anse branch in St. George's on 1-473-444-4919, open Monday to Friday 8am to 3:30pm, or visit gd.acbonline.com."
Where is your Grenada office?,"Yes — ACB Grenada operates as a separate entity. You can reach the Grand Anse branch in St. George's on 1-473-444-4919, open Monday to Friday 8am to 3:30pm, or visit gd.acbonline.com."
grenada branch,"Yes — ACB Grenada operates as a separate entity. You can reach the Grand Anse branch in St. George's on 1-473-444-4919, open Monday to Friday 8am to 3:30pm, or visit gd.acbonline.com."
How do I contact customer service?,"You can reach us on 1-268-481-4200 in Antigua or 1-473-444-4919 in Grenada, Monday to Friday 8am to 4pm. You can also email customerservice@acbonline.com or visit any branch."
What's your phone number?,"You can reach us on 1-268-481-4200 in Antigua or 1-473-444-4919 in Grenada, Monday to Friday 8am to 4pm. You can also email customerservice@acbonline.com or visit any branch."
How can I reach you?,"You can reach us on 1-268-481-4200 in Antigua or 1-473-444-4919 in Grenada, Monday to Friday 8am to 4pm. You can also email customerservice@acbonline.com or visit any branch."
I need to speak to someone,"You can reach us on 1-268-481-4200 in Antigua or 1-473-444-4919 in Grenada, Monday to Friday 8am to 4pm. You can also email customerservice@acbonline.com or visit any branch."
What's your contact information?,"You can reach us on 1-268-481-4200 in Antigua or 1-473-444-4919 in Grenada, Monday to Friday 8am to 4pm. You can also email customerservice@acbonline.com or visit any branch."
customer service contact,"You can reach us on 1-268-481-4200 in Antigua or 1-473-444-4919 in Grenada, Monday to Friday 8am to 4pm. You can also email customerservice@acbonline.com or visit any branch."
Are you on social media?,"You'll find us on Instagram, Facebook, YouTube and LinkedIn — all under ACB Caribbean."
What's your Instagram?,"You'll find us on Instagram, Facebook, YouTube and LinkedIn — all under ACB Caribbean."
Do you have a Facebook page?,"You'll find us on Instagram, Facebook, YouTube and LinkedIn — all under ACB Caribbean."
Can I find you on LinkedIn?,"You'll find us on Instagram, Facebook, YouTube and LinkedIn — all under ACB Caribbean."
That's helpful,Happy to help. Is there anything else you'd like to know?
"Great, thanks",Happy to help. Is there anything else you'd like to know?
Perfect,Happy to help. Is there anything else you'd like to know?
That answers it,Happy to help. Is there anything else you'd like to know?
Where do you get your information?,"I answer only from ACB Caribbean's published information, so what I tell you comes from the bank rather than the wider internet. For anything I'm unsure about, I'll point you to a person rather than guess."
